Austria;Vienna
Albania;Tirana
Andorra;Andorra-la-Vella
Belarus;Minsk
Belgium;Brussels
Bulgaria;Sofia
Bosnia and Herzegovina;Sarajevo
Vatican;Vatican
United Kingdom;London
Hungary;Budapest
Germany;Berlin
Greece;Athens
Denmark;Copenhagen
Ireland;Dublin
Iceland;Reykjavik
Spain;Madrid
Italy;Rome
Kosovo;Pristina
Latvia;Riga
Lithuania;Vilnius
Liechtenstein;Vaduz
Luxembourg;Luxembourg
Macedonia;Skopje
Malta;Valletta
Moldova;Chisinau
Monaco;Monaco
Netherlands;Amsterdam
Norway;Oslo
Poland;Warsaw
Portugal;Lisbon
Russia;Moscow
Romania;Bucharest
San-Marino;San-Marino
Serbia;Belgrade
Slovakia;Bratislava
Slovenia;Ljubljana
Ukraine;Kiev
Finland;Helsinki
France;Paris
Croatia;Zagreb
Montenegro;Podgorica
Czech Republic;Prague
Switzerland;Bern
Sweden;Stockholm
Estonia; Tallinn
